"","DA_aux_pp","DA_QUANDO_v","DOPO_aux_pp","FINCHE_v","FINO_A_aux_pp","INVECE_DI_v","ONDE_v","PER_aux_pp","PER_v","PERCHE_v","POICHE_v","PRIMA_CHE_v","PRIMA_DI_aux_pp","PRIMA_DI_v"
"permanere",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"perpetrare",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"pescare",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"pestare",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"piacere",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"piagnucolare",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"pianificare",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"piegare",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"pietrificare",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"pilotare",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"piombare",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"piovere",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"piroettare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"pisciare",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"pizzicare",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"placcare",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"polarizzare",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"porgere",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"pranzare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"predicare",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"pregiudicare",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"pregustare",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"prelevare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"premiare",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"preoccupare",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"prescegliere",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"presumere",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"professare",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"profetizzare",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"profondere",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"programmare",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"proiettare",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"prolungare",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"proporzionare",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"protrarre",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"provvedere",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"punire",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"puntellare",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"puntino",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"puntualizzare",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"qualificare",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"racimolare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"raddrizzare",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"radere",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"raffigurare",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"raffreddare",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"raggiare",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"raggranellare",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ragguagliare",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ragionare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"rallegrare",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"rallentare",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ramare",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"rannicchiare",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"rapinare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"rapire",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"rapportare",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"rasserenare",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"rassicurare",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"redatto",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"reimpostare",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"reintegrare",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"restringere",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"retribuire",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"riabilitare",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"riaccompagnare",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"riaddormentare",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"rialzare",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"riamare",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"riappendere",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"riassorbire",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"riattaccare",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ribollire",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ributtare",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ricavare",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ricercare",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ricomparire",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ricomporre",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"riconquistare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"riconsegnare",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ricostituire",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ricostruire",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ridefinire",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ridicolizzare",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ridiscendere",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ridiscutere",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"riempiere",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"riequilibrare",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"riesplodere",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"rifluire",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"rimandare",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"rimbalzare",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"rimborsare",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"rimbrottare",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"rimontare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"rimpiazzare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"rimuginare",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"rincasare",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"rinchiudere",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"rinfrescare",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"rinnegare",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"rinsaldare",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"rinviare",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"riparare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ripensare",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ripescare",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ripianare",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ripiegare",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"riposare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ripresentare",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"riproporre",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ripulire",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"risarcire",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"riscaldare",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"risciacquare",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"riscomparire",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"risentire",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"risolvertire",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"risorgere",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"rispedire",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ristorare",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"risuscitare",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ritardare",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ritirarso",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ritmare",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ritoccare",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"rivedere",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"rivestire",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"rivisitare",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"rogare",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"rovesciare",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"rubacchiare",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"saggiare",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"sala",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"salpare",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"sanare",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"sanguinare",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"sbaragliare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"sbloccare",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"sbottare",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"sbranare",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"sbrigliare",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"scacciare",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"scalare",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"scampare",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"scarcerare",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"scarica",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"schernire",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"scherzare",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"schiarire",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"schierare",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"schivare",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"sciacquare",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"scintillare",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"sciorinare",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"scivolare",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"scollinare",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"scombinare",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"scordare",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"scorgere",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"scosso",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"scostare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"scottare",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"scrollare",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"scucire",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"scuotere",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"sedare",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"sedotto",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"sedurre",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"segmentare",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"selezionare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"sequestrare",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"serva",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"sfacchinare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"sfaldare",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"sfamare",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"sferrare",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"sfiduciare",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"sfigurare",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"sfilare",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"sfociare",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"sforzare",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"sfumare",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"sganciare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"sgattaiolare",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"sgomberare",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"sgominare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"sgorgare",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"sgozzare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"sgranchire",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"siedare",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"sillogizzare",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"silurare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"sintetizzare",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"slacciare",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"smarrire",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"smontare",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"smorzare",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"smussare",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"snellire",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"snobbare",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"so",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"soffermare",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"soffocare",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"soffre",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"soffrire",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"solare",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"sollecitare",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"soluzione",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"sopraffatto",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"soprannominare",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"sopravvire",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"sopravvivere",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"sorgare",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"sorseggiare",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"sorvolare",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"sospetta",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"sospingere",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"sostare",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"sottintendere",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"sottoscrivere",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"sovraccaricare",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"sovrintendere",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"spaccare",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"sparecchiare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"spaziare",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"spazientire",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"specificare",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"speditare",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"spernacchiare",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"spettare",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"spiare",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"splendere",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"spodestare",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"spolverizzare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"sprofondare",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"spungere",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"sputare",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"squartare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"squillare",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"stabilizzare",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"stanziare",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"starebilire",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"stella",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"stiare",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"stigmatizzare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"stipulare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"strattonare",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"strigliare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"strillare",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"studare",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"studio",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"stupire",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"subentrare",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"subitare",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"subordinare",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"suddiviso",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"suffragare",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"suggellare",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"suicidare",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"suono",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"superluminale",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"susseguire",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"sussistere",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"sussurrare",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"sventare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"svincolare",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"svoltare",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"tacciare",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"tamponare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"taroccare",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"teorizzare",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"timbrare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"tintinnare",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"tira",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"tirarre",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"torno",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"traboccare",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"tracciare",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"trafiggere",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"tralasciare",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"tramontare",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"tramortire",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"tranciare",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"tranquillizzare",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"trapiantare",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"trare",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"trasalire",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"trascina",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"traslocare",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"tratto",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"traversare",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"travolga",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"tremare",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"truccare",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"tuono",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"turbare",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ubbidire",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"uccida",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ultimare",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"uscita",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"usufruire",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"vagare",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"vale",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"valga",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"vantare",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ve",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"veicolo",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"velocizzare",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"vendicare",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"venga",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"vertere",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"vertire",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"vibrare",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"vittimo",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"volersi",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"volgere",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"voltare",0,0,0,1,0,0,0,0,0,0,0,0,0,0
